Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Ovarian Cancer Prediction in Proteomic Data Using Stacked Asymmetric Convolution","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59713-9_26","Cheng YuanYujin TangDahong Qian","2020","http://link.springer.com/chapter/10.1007/978-3-030-59713-9_26","Chapter"
"Unsupervised Deep Learning for Susceptibility Distortion Correction in Connectome Imaging","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59728-3_30","Yuchuan QiaoYonggang Shi","2020","http://link.springer.com/chapter/10.1007/978-3-030-59728-3_30","Chapter"
"Accelerated 4D Respiratory Motion-Resolved Cardiac MRI with a Model-Based Variational Network","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59725-2_41","Haikun QiNiccolo FuinThomas KuestnerRené BotnarClaudia Prieto","2020","http://link.springer.com/chapter/10.1007/978-3-030-59725-2_41","Chapter"
"ID-Fit: Intra-Saccular Device Adjustment for Personalized Cerebral Aneurysm Treatment","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59725-2_10","Romina MuñozAna Paula NarataIgnacio Larrabide","2020","http://link.springer.com/chapter/10.1007/978-3-030-59725-2_10","Chapter"
"Skip-StyleGAN: Skip-Connected Generative Adversarial Networks for Generating 3D Rendered Image of Hand Bone Complex","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59719-1_72","Jaesin AhnHyun-Joo LeeInchul ChoiMinho Lee","2020","http://link.springer.com/chapter/10.1007/978-3-030-59719-1_72","Chapter"
"Statistical Atlas of C. elegans Neurons","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59722-1_12","Erdem VarolAmin NejatbakhshRuoxi SunGonzalo MenaEviatar YeminiOliver HobertLiam Paninski","2020","http://link.springer.com/chapter/10.1007/978-3-030-59722-1_12","Chapter"
"LAMP: Large Deep Nets with Automated Model Parallelism for Image Segmentation","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59719-1_37","Wentao ZhuCan ZhaoWenqi LiHolger RothZiyue XuDaguang Xu","2020","http://link.springer.com/chapter/10.1007/978-3-030-59719-1_37","Chapter"
"Feature-Enhanced Graph Networks for Genetic Mutational Prediction Using Histopathological Images in Colon Cancer","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59713-9_29","Kexin DingQiao LiuEdward LeeMu ZhouAidong LuShaoting Zhang","2020","http://link.springer.com/chapter/10.1007/978-3-030-59713-9_29","Chapter"
"Bounding Maps for Universal Lesion Detection","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59719-1_41","Han LiHu HanS. Kevin Zhou","2020","http://link.springer.com/chapter/10.1007/978-3-030-59719-1_41","Chapter"
"Tract Dictionary Learning for Fast and Robust Recognition of Fiber Bundles","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59728-3_25","Ye WuYoonmi HongSahar AhmadWeili LinDinggang ShenPew-Thian Yap","2020","http://link.springer.com/chapter/10.1007/978-3-030-59728-3_25","Chapter"
"Are Fast Labeling Methods Reliable? A Case Study of Computer-Aided Expert Annotations on Microscopy Slides","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59710-8_3","Christian MarzahlChristof A. BertramMarc AubrevilleAnne PetrickKristina WeilerAgnes C. GläselMarco FragosoSophie MerzFlorian BartenschlagerJudith HoppeAlina LangenhagenAnne-Katherine JasenskyJörn VoigtRobert KlopfleischAndreas Maier","2020","http://link.springer.com/chapter/10.1007/978-3-030-59710-8_3","Chapter"
"Semi-supervised Training of Optical Flow Convolutional Neural Networks in Ultrasound Elastography","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59716-0_48","Ali K. Z. TehraniMorteza MirzaeiHassan Rivaz","2020","http://link.springer.com/chapter/10.1007/978-3-030-59716-0_48","Chapter"
"Assisted Probe Positioning for Ultrasound Guided Radiotherapy Using Image Sequence Classification","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59716-0_52","Alex GrimwoodHelen McNairYipeng HuEster BonmatiDean BarrattEmma J. Harris","2020","http://link.springer.com/chapter/10.1007/978-3-030-59716-0_52","Chapter"
"Data-Driven Multi-contrast Spectral Microstructure Imaging with InSpect","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59725-2_36","Paddy J. SlatorJana HutterRazvan V. MarinescuMarco PalomboLaurence H. JacksonAlison HoLucy C. ChappellMary RutherfordJoseph V. HajnalDaniel C. Alexander","2020","http://link.springer.com/chapter/10.1007/978-3-030-59725-2_36","Chapter"
"Entropy Guided Unsupervised Domain Adaptation for Cross-Center Hip Cartilage Segmentation from MRI","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59710-8_44","Guodong ZengFlorian SchmaranzerTill D. LerchAdam BoschungGuoyan ZhengJürgen BurgerKate GerberMoritz TannastKlaus SiebenrockYoung-Jo KimEduardo N. NovaisNicolas Gerber","2020","http://link.springer.com/chapter/10.1007/978-3-030-59710-8_44","Chapter"
"Joint Image Quality Assessment and Brain Extraction of Fetal MRI Using Deep Learning","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59725-2_40","Lufan LiaoXin ZhangFenqiang ZhaoTao ZhongYuchen PeiXiangmin XuLi WangHe ZhangDinggang ShenGang Li","2020","http://link.springer.com/chapter/10.1007/978-3-030-59725-2_40","Chapter"
"Microscopic Fine-Grained Instance Classification Through Deep Attention","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59722-1_47","Mengran FanTapabrata ChakrabortiEric I-Chao ChangYan XuJens Rittscher","2020","http://link.springer.com/chapter/10.1007/978-3-030-59722-1_47","Chapter"
"Graph Attention Multi-instance Learning for Accurate Colorectal Cancer Staging","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59722-1_51","Ashwin RajuJiawen YaoMohammad MinHazul HaqJitendra JonnagaddalaJunzhou Huang","2020","http://link.springer.com/chapter/10.1007/978-3-030-59722-1_51","Chapter"
"Higher-Order Flux with Spherical Harmonics Transform for Vascular Analysis","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59725-2_6","Jierong WangAlbert C. S. Chung","2020","http://link.springer.com/chapter/10.1007/978-3-030-59725-2_6","Chapter"
"Convolutional Bayesian Models for Anatomical Landmarking on Multi-dimensional Shapes","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59719-1_76","Yonghui FanYalin Wang","2020","http://link.springer.com/chapter/10.1007/978-3-030-59719-1_76","Chapter"
"AGAN: An Anatomy Corrector Conditional Generative Adversarial Network","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59713-9_68","Melih EnginRobin LangeAndras NemesSadaf MonajemiMilad MohammadzadehChin Kong GohTian Ming TuBenjamin Y. Q. TanPrakash PaliwalLeonard L. L. YeoVijay K. Sharma","2020","http://link.springer.com/chapter/10.1007/978-3-030-59713-9_68","Chapter"
"Modelling the Distribution of 3D Brain MRI Using a 2D Slice VAE","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59728-3_64","Anna VolokitinErtunc ErdilNeerav KaraniKerem Can TezcanXiaoran ChenLuc Van GoolEnder Konukoglu","2020","http://link.springer.com/chapter/10.1007/978-3-030-59728-3_64","Chapter"
"Spatial-Intensity Transform GANs for High Fidelity Medical Image-to-Image Translation","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59713-9_72","Clinton J. WangNatalia S. RostPolina Golland","2020","http://link.springer.com/chapter/10.1007/978-3-030-59713-9_72","Chapter"
"Self-Supervised Domain Adaptation for Patient-Specific, Real-Time Tissue Tracking","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59716-0_6","Sontje IhlerFelix KuhnkeMax-Heinrich LavesTobias Ortmaier","2020","http://link.springer.com/chapter/10.1007/978-3-030-59716-0_6","Chapter"
"Probabilistic 3D Surface Reconstruction from Sparse MRI Information","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59710-8_79","Katarína TóthováSarah ParisotMatthew LeeEsther Puyol-AntónAndrew KingMarc PollefeysEnder Konukoglu","2020","http://link.springer.com/chapter/10.1007/978-3-030-59710-8_79","Chapter"
"Inferring the 3D Standing Spine Posture from 2D Radiographs","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59725-2_75","Amirhossein BayatAnjany SekuboyinaJohannes C. PaetzoldChristian PayerDarko SternMartin UrschlerJan S. KirschkeBjoern H. Menze","2020","http://link.springer.com/chapter/10.1007/978-3-030-59725-2_75","Chapter"
"MvMM-RegNet: A New Image Registration Framework Based on Multivariate Mixture Model and Neural Network Estimation","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59716-0_15","Xinzhe LuoXiahai Zhuang","2020","http://link.springer.com/chapter/10.1007/978-3-030-59716-0_15","Chapter"
"Learning and Exploiting Interclass Visual Correlations for Medical Image Classification","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59710-8_11","Dong WeiShilei CaoKai MaYefeng Zheng","2020","http://link.springer.com/chapter/10.1007/978-3-030-59710-8_11","Chapter"
"SiamParseNet: Joint Body Parsing and Label Propagation in Infant Movement Videos","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59719-1_39","Haomiao NiYuan XueQian ZhangXiaolei Huang","2020","http://link.springer.com/chapter/10.1007/978-3-030-59719-1_39","Chapter"
"Mt-UcGAN: Multi-task Uncertainty-Constrained GAN for Joint Segmentation, Quantification and Uncertainty Estimation of Renal Tumors on CT","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59719-1_43","Yanan RuanDengwang LiHarry MarshallTimothy MiaoTyler CossettoIan ChanOmar DaherFabio AccorsiAashish GoelaShuo Li","2020","http://link.springer.com/chapter/10.1007/978-3-030-59719-1_43","Chapter"
"Dynamic Memory to Alleviate Catastrophic Forgetting in Continuous Learning Settings","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59713-9_35","Johannes HofmanningerMatthias PerkoniggJames A. BrinkOleg PianykhChristian HeroldGeorg Langs","2020","http://link.springer.com/chapter/10.1007/978-3-030-59713-9_35","Chapter"
"An Effective Data Refinement Approach for Upper Gastrointestinal Anatomy Recognition","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59710-8_5","Li QuanYan LiXiaoyi ChenNi Zhang","2020","http://link.springer.com/chapter/10.1007/978-3-030-59710-8_5","Chapter"
"Hierarchical Geodesic Modeling on the Diffusion Orientation Distribution Function for Longitudinal DW-MRI Analysis","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59728-3_31","Heejong KimSungmin HongMartin StynerJoseph PivenKelly BotteronGuido Gerig","2020","http://link.springer.com/chapter/10.1007/978-3-030-59728-3_31","Chapter"
"Contrastive Rendering for Ultrasound Image Segmentation","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59716-0_54","Haoming LiXin YangJiamin LiangWenlong ShiChaoyu ChenHaoran DouRui LiRui GaoGuangquan ZhouJinghui FangXiaowen LiangRuobing HuangAlejandro FrangiZhiyi ChenDong Ni","2020","http://link.springer.com/chapter/10.1007/978-3-030-59716-0_54","Chapter"
"Enhanced Detection of Fetal Pose in 3D MRI by Deep Reinforcement Learning with Physical Structure Priors on Anatomy","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59725-2_38","Molin ZhangJunshen XuEsra Abaci TurkP. Ellen GrantPolina GollandElfar Adalsteinsson","2020","http://link.springer.com/chapter/10.1007/978-3-030-59725-2_38","Chapter"
"SALAD: Self-supervised Aggregation Learning for Anomaly Detection on X-Rays","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59710-8_46","Behzad BozorgtabarDwarikanath MahapatraGuillaume VrayJean-Philippe Thiran","2020","http://link.springer.com/chapter/10.1007/978-3-030-59710-8_46","Chapter"
"Motion Pyramid Networks for Accurate and Efficient Cardiac Motion Estimation","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59725-2_42","Hanchao YuXiao ChenHumphrey ShiTerrence ChenThomas S. HuangShanhui Sun","2020","http://link.springer.com/chapter/10.1007/978-3-030-59725-2_42","Chapter"
"Harnessing Uncertainty in Domain Adaptation for MRI Prostate Lesion Segmentation","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59710-8_50","Eleni ChiouFrancesco GigantiShonit PunwaniIasonas KokkinosEleftheria Panagiotaki","2020","http://link.springer.com/chapter/10.1007/978-3-030-59710-8_50","Chapter"
"Deep Active Learning for Breast Cancer Segmentation on Immunohistochemistry Images","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59722-1_49","Haocheng ShenKuan TianPei DongJun ZhangKezhou YanShannon CheJianhua YaoPifu LuoXiao Han","2020","http://link.springer.com/chapter/10.1007/978-3-030-59722-1_49","Chapter"
"Modeling Histological Patterns for Differential Diagnosis of Atypical Breast Lesions","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59722-1_53","Akash ParvatikarOm ChoudharyArvind RamanathanOlga NavolotskaiaGloria CarterAkif Burak TosunJeffrey L. FineS. Chakra Chennubhotla","2020","http://link.springer.com/chapter/10.1007/978-3-030-59722-1_53","Chapter"
"Automated Intracranial Artery Labeling Using a Graph Neural Network and Hierarchical Refinement","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59725-2_8","Li ChenThomas HatsukamiJenq-Neng HwangChun Yuan","2020","http://link.springer.com/chapter/10.1007/978-3-030-59725-2_8","Chapter"
"Multi-task Dynamic Transformer Network for Concurrent Bone Segmentation and Large-Scale Landmark Localization with Dental CBCT","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59719-1_78","Chunfeng LianFan WangHannah H. DengLi WangDeqiang XiaoTianshu KuangHung-Ying LinJaime GatenoSteve G. F. ShenPew-Thian YapJames J. XiaDinggang Shen","2020","http://link.springer.com/chapter/10.1007/978-3-030-59719-1_78","Chapter"
"MAGIC: Multi-scale Heterogeneity Analysis and Clustering for Brain Diseases","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59728-3_66","Junhao WenErdem VarolGanesh ChandAristeidis SotirasChristos Davatzikos","2020","http://link.springer.com/chapter/10.1007/978-3-030-59728-3_66","Chapter"
"Prediction of Plantar Shear Stress Distribution by Conditional GAN with Attention Mechanism","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59713-9_74","Jinghui GuoAli ErsenYang GaoYu LinLatifur KhanMetin Yavuz","2020","http://link.springer.com/chapter/10.1007/978-3-030-59713-9_74","Chapter"
"Ear Cartilage Inference for Reconstructive Surgery with Convolutional Mesh Autoencoders","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59716-0_8","Eimear O’ SullivanLara van de LandeAntonia OsolosSilvia SchievanoDavid J. DunawayNeil BulstrodeStefanos Zafeiriou","2020","http://link.springer.com/chapter/10.1007/978-3-030-59716-0_8","Chapter"
"A Disentangled Latent Space for Cross-Site MRI Harmonization","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59728-3_70","Blake E. DeweyLianrui ZuoAaron CarassYufan HeYihao LiuEllen M. MowryScott NewsomeJiwon OhPeter A. CalabresiJerry L. Prince","2020","http://link.springer.com/chapter/10.1007/978-3-030-59728-3_70","Chapter"
"DeU-Net: Deformable U-Net for 3D Cardiac MRI Video Segmentation","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59719-1_10","Shunjie DongJinlong ZhaoMaojun ZhangZhengxue ShiJianing DengYiyu ShiMei TianCheng Zhuo","2020","http://link.springer.com/chapter/10.1007/978-3-030-59719-1_10","Chapter"
"GAN-Based Realistic Bone Ultrasound Image and Label Synthesis for Improved Segmentation","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59725-2_77","Ahmed Z. AlsinanCharles RuleMichael VivesVishal M. PatelIlker Hacihaliloglu","2020","http://link.springer.com/chapter/10.1007/978-3-030-59725-2_77","Chapter"
"Pair-Wise and Group-Wise Deformation Consistency in Deep Registration Network","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59716-0_17","Dongdong GuXiaohuan CaoShanshan MaLei ChenGuocai LiuDinggang ShenZhong Xue","2020","http://link.springer.com/chapter/10.1007/978-3-030-59716-0_17","Chapter"
"Large Deformation Diffeomorphic Image Registration with Laplacian Pyramid Networks","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59716-0_21","Tony C. W. MokAlbert C. S. Chung","2020","http://link.springer.com/chapter/10.1007/978-3-030-59716-0_21","Chapter"
"Deep kNN for Medical Image Classification","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59710-8_13","Jiaxin ZhuangJiabin CaiRuixuan WangJianguo ZhangWei-Shi Zheng","2020","http://link.springer.com/chapter/10.1007/978-3-030-59710-8_13","Chapter"
"Isotropic Reconstruction of 3D EM Images with Unsupervised Degradation Learning","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59722-1_16","Shiyu DengXueyang FuZhiwei XiongChang ChenDong LiuXuejin ChenQing LingFeng Wu","2020","http://link.springer.com/chapter/10.1007/978-3-030-59722-1_16","Chapter"
